EPG_CODE	EFF_DATE	TERM_DATE	CONTENTID	CONTENTNAME	BEHAVIORPATH	JZYX_METHOD	BEHAVIORPATH_NAME	JZYX_PRODUCT_LIST
SDJTSJ2021-0000	20210701	20210719	2021SQHD	2021暑期活动	10C02007025	5	天翼高清用户基础画像	100112|701042|701043|701044|711025|711026|100088|100089|701003|701007|701008|701009|701010|701020|701021|701073|711002|711004|100115|100117|100119|100096|100099|100109|700045|701011|701012|701019|701025|701048|711011|711012|711013|100095|100098|100108|700053|701016|701017|701018|701026|701050|711008|711009|711010|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100129|701079|701080|701081|100111|701035|701036|701037|701039|701040|701041|100126|701051|701052|701053|701072|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
720HDJTSY-0012	20210701	20210719	2021SQHD	2021暑期活动	10C02007025	5	天翼高清用户基础画像	100112|701042|701043|701044|711025|711026|100088|100089|701003|701007|701008|701009|701010|701020|701021|701073|711002|711004|100115|100117|100119|100096|100099|100109|700045|701011|701012|701019|701025|701048|711011|711012|711013|100095|100098|100108|700053|701016|701017|701018|701026|701050|711008|711009|711010|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100129|701079|701080|701081|100111|701035|701036|701037|701039|701040|701041|100126|701051|701052|701053|701072|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
1080HDJTSY-0012	20210701	20210719	2021SQHD	2021暑期活动	10C02007025	5	天翼高清用户基础画像	100112|701042|701043|701044|711025|711026|100088|100089|701003|701007|701008|701009|701010|701020|701021|701073|711002|711004|100115|100117|100119|100096|100099|100109|700045|701011|701012|701019|701025|701048|711011|711012|711013|100095|100098|100108|700053|701016|701017|701018|701026|701050|711008|711009|711010|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100129|701079|701080|701081|100111|701035|701036|701037|701039|701040|701041|100126|701051|701052|701053|701072|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
HDJTXQ-0010	20210701	20991231	2021HJTJ	2021好剧推荐	10C02007001244	5	天翼高清电视剧内容偏好	100112|701042|701043|701044|711025|711026|100096|100099|100109|700045|701011|701012|701019|701025|701048|711011|711012|711013|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
HDJTXQ-0000	20210701	20991231	2021DYTJ	2021电影推荐	10C02007001245	5	天翼高清电影内容偏好	100112|701042|701043|701044|711025|711026|100115|100117|100119|100095|100098|100108|700053|701016|701017|701018|701026|701050|711008|711009|711010|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
HDJTSRXQ-0001	20210701	20991231	2021SETJ	2021少儿推荐	10C02007001246	5	天翼高清少儿内容偏好	100112|701042|701043|701044|711025|711026|100088|100089|701003|701007|701008|701009|701010|701020|701021|701073|711002|711004|100115|100117|100119|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077
HDJTSRXQ-0002	20210701	20991231	2021SETJ	2021少儿推荐	10C02007001246	5	天翼高清少儿内容偏好	100112|701042|701043|701044|711025|711026|100088|100089|701003|701007|701008|701009|701010|701020|701021|701073|711002|711004|100115|100117|100119|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077
HDJTXQ-0020	20210701	20991231	2021XGTJ	2021用户画像推荐	10C02007025	5	天翼高清用户基础画像	100112|701042|701043|701044|711025|711026|100088|100089|701003|701007|701008|701009|701010|701020|701021|701073|711002|711004|100115|100117|100119|100096|100099|100109|700045|701011|701012|701019|701025|701048|711011|711012|711013|100095|100098|100108|700053|701016|701017|701018|701026|701050|711008|711009|711010|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100129|701079|701080|701081|100111|701035|701036|701037|701039|701040|701041|100126|701051|701052|701053|701072|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
HDJTLS-0000	20210701	20991231	2021XGTJ	2021用户画像推荐	10C02007025	5	天翼高清用户基础画像	100112|701042|701043|701044|711025|711026|100088|100089|701003|701007|701008|701009|701010|701020|701021|701073|711002|711004|100115|100117|100119|100096|100099|100109|700045|701011|701012|701019|701025|701048|711011|711012|711013|100095|100098|100108|700053|701016|701017|701018|701026|701050|711008|711009|711010|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100129|701079|701080|701081|100111|701035|701036|701037|701039|701040|701041|100126|701051|701052|701053|701072|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
HDJTJHDG-0000	20210701	20991231	2021ZZDG	2021增值订购	10C02007024	5	天翼高清增值业务订购行为	100112|701042|701043|701044|711025|711026|100088|100089|701003|701007|701008|701009|701010|701020|701021|701073|711002|711004|100115|100117|100119|100096|100099|100109|700045|701011|701012|701019|701025|701048|711011|711012|711013|100095|100098|100108|700053|701016|701017|701018|701026|701050|711008|711009|711010|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100129|701079|701080|701081|100111|701035|701036|701037|701039|701040|701041|100126|701051|701052|701053|701072|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
HDJTMGXQ-0000	20210701	20991231	2021ZYTJ	2021综艺推荐	10C02007001247	5	天翼高清综艺内容偏好	100112|701042|701043|701044|711025|711026|100115|100117|100119|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
HDJTMGXQ-0001	20210701	20991231	2021ZYTJ	2021综艺推荐	10C02007001247	5	天翼高清综艺内容偏好	100112|701042|701043|701044|711025|711026|100115|100117|100119|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
HDJTMGXQ-0002	20210701	20991231	2021ZYTJ	2021综艺推荐	10C02007001247	5	天翼高清综艺内容偏好	100112|701042|701043|701044|711025|711026|100115|100117|100119|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
HDJTPBYM-0000	20210701	20991231	2021PBTJ	2021屏保推荐	10C02007025	4	天翼高清用户基础画像	100112|701042|701043|701044|711025|711026|100088|100089|701003|701007|701008|701009|701010|701020|701021|701073|711002|711004|100115|100117|100119|100096|100099|100109|700045|701011|701012|701019|701025|701048|711011|711012|711013|100095|100098|100108|700053|701016|701017|701018|701026|701050|711008|711009|711010|100140|701063|100113|100120|100121|100122|100123|100124|100130|100131|100132|100133|100134|100135|100136|701045|701046|701047|711027|711028|711029|100127|701064|701065|701066|701077|100129|701079|701080|701081|100111|701035|701036|701037|701039|701040|701041|100126|701051|701052|701053|701072|100097|100102|100106|100110|701013|701014|701015|701024|701027|701029|701030|701049|701071|701078|711014|711015|711016|711017
