('万有引力', None, '04710001000000010000000003988638', '9', '0')
('万有引力', '108', 'YoukuPro000000010000000000009544', '4', '0')
('万有引力', '天津TV中心', 'TJTV0000000000010000000000290076', '4', '1')
('万有引力', 'WTHX', 'wtxhmsic000000010001610982937616', '4', '1')
('万有引力', '内蒙电信岩华腾讯极光', 'NMDXJG77000000010030000005524613', '4', '0')
('大梦女儿国', '内蒙电信华数优酷', 'WASUNMYK0000000100000000P1617045', '9', '0')
('帝都', 'cpaj0118', '99100000000000011718075506056972', '4', '1')
('帝都', 'WTHX', 'wtxhmsic000000010001608172268647', '4', '1')
('英雄', '方略路通', 'LutongVK000000010000000901000992', '4', '1')
('英雄', '内蒙华数传媒', 'HUASHUNM000000010000000P12769944', '9', '0')
('英雄', '101', '00000001000000010000000026496055', '9', '0')
('英雄', '108', 'YoukuPro000000010000000000009248', '9', '0')
('英雄', '内蒙华数移动视频', 'WASUNMYD000000010000000P12769944', '9', '0')
('英雄', '内蒙优土视频', 'YoukuPro000000010000000000010200', '4', '0')
('英雄', None, '04710001000000010000000014312389', '9', '0')
('英雄', '天津TV中心', 'TJTV0000000000010000000000097546', '9', '0')
('英雄', 'cpaj0118', '99100000000000011718001306053690', '4', '1')
('英雄', '天津TV中心', 'TJTV0000000000010000000000293725', '4', '1')
('英雄', 'WTHX', 'wtxhmsic000000010001608115009239', '4', '1')
('英雄', 'WTHX', 'wtxhmsic000000010001614340529697', '4', '1')
('英雄', 'WTHX', 'wtxhmsic000000010001614362655457', '4', '1')
('英雄', '天津TV中心', 'TJTV0000000000010000000000576220', '9', '0')
('英雄', '岩华文化', '00000001000000010000000161082687', '4', '1')
('人', 'WTHX', 'wtxhmsic000000010001620986789978', '4', '1')
('微光', 'cpaj0118', '99100000000000011718330206063179', '4', '1')
('微光', 'cpaj0118', '99100000000000011718364106064775', '4', '1')
('微光', 'cpaj0118', '99100000000000011718040206055316', '4', '1')
('微光', '方略路通', 'LutongVK000000010000001671907914', '4', '1')
('微光', '天津TV中心', 'TJTV0000000000010000000000293822', '4', '1')
('微光', 'WTHX', 'wtxhmsic000000010001608119764308', '4', '1')
('微光', 'WTHX', 'wtxhmsic000000010001608185685989', '4', '1')
('微光', 'WTHX', 'wtxhmsic000000010001610984147054', '4', '1')
('微光', 'WTHX', 'wtxhmsic000000010001610940906686', '4', '1')
('微光', 'WTHX', 'wtxhmsic000000010001608188447108', '4', '1')
('微光', 'WTHX', 'wtxhmsic000000010001614347903053', '4', '1')
('微光', 'WTHX', 'wtxhmsic000000010001614330128892', '4', '1')
('微光', 'WTHX', 'wtxhmsic000000010001620987050177', '4', '1')
('深夜书店', '109', 'monggotv000000018195921439966007', '9', '0')
('特工学妹', '109', 'monggotv000000018312320970766746', '9', '0')
('特工学妹', '108', 'YoukuPro000000010000000000008517', '4', '1')
('一念之差', '101', '00000001000000010000000028831414', '9', '0')
('一念之差', '101', '00000001000000010000000033612763', '9', '0')
('一念之差', '天津TV中心', 'TJTV0000000000010000000000291011', '4', '1')
('帝都之诛魔之战', '内蒙优土视频', 'YoukuPro000000010000000000010411', '4', '0')
('一念之间', '101', '00000001000000010000000028700164', '4', '1')
('一念之间', 'CCTV', '00000001000000010000000046568253', '4', '1')
('一念之间', 'cpaj0118', '99100000000000011718513706071376', '4', '1')
('一念之间', 'WTHX', 'wtxhmsic000000010001608200532985', '4', '1')
('一念之间', 'WTHX', 'wtxhmsic000000010001610960835212', '4', '1')
('一念之间', 'CCTV', '00000001000000010000000132098796', '4', '1')
('阿B特工', '109', 'monggotv000000018305544833508474', '9', '0')
('新精武门2017', '108', 'YoukuPro000000010000000000009468', '4', '0')
('挣扎', '天津TV中心', 'TJTV0000000000010000000000290011', '4', '1')
('超能赌神3', '109', 'monggotv000000012796286625259476', '9', '0')
('超能赌神3', '109', 'monggotv000000012796286625259476', '9', '0')
('超能赌神3', '109', 'monggotv000000017191259783602860', '9', '0')
('生死游戏', '内蒙华数移动视频', 'WASUNMYD000000010000000P14333333', '9', '0')
