('爱神巧克力', '109', 'monggotv000000102009321038046140', '9', '0')
('机巧少女不会受伤', '天津TV中心', 'TJTV0000000000100000000000002619', '9', '0')
('奔波儿灞与灞波儿奔', '109', 'monggotv000000105596076594203920', '9', '0')
('降龙之白露为霜', '电信天翼视讯', 'TYISXSER000000100000000000000452', '9', '0')
('英雄', 'YANHUA', 'YANHUA31000000100000000009328105', '9', '0')
('英雄', 'YANHUA', 'NMDXJG77000000100000000009255553', '9', '0')
('花开时节', '天津TV中心', 'TJTV0000000000100000000000006596', '9', '0')
('花开时节', '环球合一', 'HQHYCODE000000109071009183124410', '4', '0')
('花开时节', '内蒙芒果视频', 'monggotv000000106003364674303462', '9', '0')
('花开时节', '腾讯', 'HWC2CODE000000100000000000001984', '4', '1')
('花开时节', '掌玩视听', '04710001000000100000000000083828', '4', '0')
('花开时节', '内蒙芒果移动视频', 'NMGYDMG0000000100000000000012180', '4', '0')
('花开时节', 'YANHUA', 'YANHUA31000000100000000001557398', '9', '0')
('花开时节', '电信天翼视讯', 'TYISXSER000000100000000000001486', '4', '0')
('花开时节', 'YANHUA', 'YANHUA74000000100000000001557398', '4', '0')
('花开时节', 'YANHUA', 'NMDXJG77000000100000000001558445', '9', '0')
('拜托了废柴', '内蒙芒果移动视频', 'NMGYDMG0000000100000000000011579', '4', '0')
('拜托了废柴', '电信天翼视讯', 'TYISXSER000000100000000000000353', '9', '0')
('灵契', '天津TV中心', 'TJTV0000000000100000000000001900', '4', '1')
('鬼子也疯狂', '内蒙芒果视频', 'monggotv000000105756515632217392', '9', '0')
('北方有佳人', '天津TV中心', 'TJTV0000000000100000000000003599', '9', '0')
('北方有佳人', '内蒙芒果视频', 'monggotv000000105256062676759000', '9', '0')
('北方有佳人', '掌玩视听', '04710001000000100000000000111391', '9', '0')
('北方有佳人', '天津TV中心', 'TJTV0000000000100000000000009057', '9', '0')
('北方有佳人', '环球合一', 'HQHYCODE000000100091415230263812', '4', '1')
('爱情自有天意', '109', 'monggotv000000104873802088476878', '9', '0')
('爱情自有天意', '天津TV中心', 'TJTV0000000000100000000000002704', '9', '0')
('原谅', '盛世骄阳', '00000001000000100000000000215393', '4', '1')
('原谅', '内蒙古百视通移动', 'BESTV1YD000000100000000005923545', '4', '1')
('原谅', '博信闳', '00000001000000100000000000233638', '4', '1')
('原谅', '内蒙古百视通电信', '00600637000000100000000005923545', '4', '1')
('无人之境', '101', '00000001000000100000000000212508', '9', '0')
('美好生活', '电信天翼视讯', 'TYISXSER000000100000000000000298', '9', '0')
('美好生活', '内蒙优土视频', 'YoukuSer000000100000000000009826', '9', '0')
('美好生活', '内蒙UT视频', '04710001000000100000000000017401', '9', '0')
('美好生活', '天津TV中心', 'TJTV0000000000100000000000002064', '9', '0')
('美好生活', 'YANHUA', 'YANHUA31000000100000000000628832', '9', '0')
('美好生活', 'YANHUA', 'NMDXJG77000000100000000000969302', '9', '0')
('美好生活', '内蒙华数传媒', 'HUASHUNM000000100000000S19181508', '9', '0')
('美好生活', '内蒙华数移动视频', 'WASUNMYD000000100000000S19181508', '9', '0')
('血刃', None, '04710001000000100000000000005801', '9', '0')
('血刃', '109', 'monggotv000000100000000010000065', '9', '0')
('面具', '内蒙芒果视频', 'monggotv000000109197957049705231', '9', '0')
('面具', '天津TV中心', 'TJTV0000000000100000000000002689', '4', '1')
('面具', '内蒙芒果视频', 'monggotv000000105307498397930252', '4', '1')
('面具', '内蒙芒果移动视频', 'NMGYDMG0000000100000000000013731', '4', '1')
('面具', '金胡桃', 'iqiyi101000000106853603804371959', '9', '0')
('面具', '金胡桃', 'iqiyi101000000108492536393592339', '9', '0')
('辉煌100年', '腾讯', 'HWC2CODE000000100000000000003638', '4', '1')
('辉煌100年', '内蒙移动华数优酷', 'WASUMYYK000000100000000000S33387', '4', '1')
('嫦娥', '内蒙优土视频', 'YoukuSer000000100000000000010382', '4', '1')
('嫦娥', '天津TV中心', 'TJTV0000000000100000000000002726', '9', '0')
('嫦娥', '内蒙UT视频', '04710001000000100000000000068400', '4', '0')
('嫦娥', '岩华文化', '00000001000000100000000000221112', '9', '0')
('嫦娥', 'YANHUA', 'YANHUA74000000100000000000200731', '4', '1')
('嫦娥', '内蒙芒果移动视频', 'NMGYDMG0000000100000000000014424', '4', '1')
